lon,lat
1.0539,49.4311,
1.0539,49.4311,
1.0539,49.4311,
1.0539,49.4311,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
1.1014,49.9267,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-1.4453,49.0453,
-0.1975,48.8972,
0.6275,48.765,
0.6275,48.765,
0.6275,48.765,
0.6275,48.765,
0.6275,48.765,
0.6275,48.765,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
-1.4692,49.5092,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
0.1169,49.5558,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
1.1042,48.9961,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
0.6239,49.0972,
-1.5689,49.1658,
-1.5689,49.1658,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
1.3772,48.8447,
-1.2278,49.3039,
-1.2278,49.3039,
-1.2278,49.3039,
-1.2278,49.3039,
-1.2278,49.3039,
-1.2278,49.3039,
-0.2439,49.2217,
-0.2439,49.2217,
-0.2439,49.2217,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
-1.3167,48.6475,
1.5139,49.4622,
1.5139,49.4622,
1.5139,49.4622,
1.5139,49.4622,
1.5139,49.4622,
1.4019,49.8317,
1.4019,49.8317,
1.4019,49.8317,
0.0331,48.8433,
0.0331,48.8433,
0.0331,48.8433,
0.0331,48.8433,
0.0331,48.8433,
0.0331,48.8433,
0.0331,48.8433,
0.0331,48.8433,
0.0331,48.8433,
0.8075,48.77,
0.8075,48.77,
0.8075,48.77,
0.8075,48.77,
0.8075,48.77,
1.6161,49.6536,
1.6161,49.6536,
1.6161,49.6536,
1.6161,49.6536,
1.6161,49.6536,
0.7722,48.4289,
0.7722,48.4289,
0.7722,48.4289,
0.7722,48.4289,
0.7722,48.4289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
0.6056,49.7289,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
-1.6836,49.5186,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
0.5875,49.4603,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
-0.71,48.6467,
0.7458,48.3453,
0.7458,48.3453,
0.7458,48.3453,
0.7458,48.3453,
0.7458,48.3453,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-0.4436,48.6908,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-1.4114,48.8239,
-0.5933,49.2092,
-0.5933,49.2092,
-0.5933,49.2092,
-0.5933,49.2092,
-0.5933,49.2092,
-0.5933,49.2092,
-0.5933,49.2092,
-0.5933,49.2092,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
1.6053,49.1589,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
-0.8392,48.9369,
1.3858,50.0303,
1.3858,50.0303,
1.3858,50.0303,
1.3858,50.0303,
1.3858,50.0303,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
1.0869,49.2353,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
0.1017,48.5031,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
-1.0342,49.1114,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
0.2261,49.2269,
-0.4389,49.085,
-0.4389,49.085,
-0.4389,49.085,
-0.4389,49.085,
-0.4389,49.085,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
1.11,49.6214,
