CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
3006622,"Dijon",3006622,"Dijon",0,3
6447838,"Besançon",6447838,"Besançon",0,3
3033791,"Belfort",3033791,"Belfort",0,3
3027484,"Chalon-sur-Saône",3027484,"Chalon-sur-Saône",0,3
3035843,"Auxerre",3035843,"Auxerre",0,3
2996882,"Mâcon",2996882,"Mâcon",0,3
2990474,"Nevers",2990474,"Nevers",0,3
11962198,"Sens",11962198,"Sens",0,3
2992938,"Montbéliard",2992938,"Montbéliard",0,3
3021263,"Dole",3021263,"Dole",0,3
6614182,"Le Creusot",6614182,"Le Creusot",0,3
3036862,"Arnay-le-Duc",6614182,"Le Creusot",0.92,3
6490278,"Beaune",6490278,"Beaune",0,3
2992863,"Montceau-les-Mines",2992863,"Montceau-les-Mines",0,3
6429944,"Pontarlier",6429944,"Pontarlier",0,3
6433608,"Lons-le-Saunier",6433608,"Lons-le-Saunier",0,3
6454607,"Vesoul",6454607,"Vesoul",0,3
3035883,"Autun",3035883,"Autun",0,3
2973510,"Talant",2973510,"Talant",0,3
6441973,"Héricourt",6441973,"Héricourt",0,3
3012319,"Joigny",3012319,"Joigny",0,3
6442356,"Paray-le-Monial",6442356,"Paray-le-Monial",0,3
6454111,"Saint-Claude",6454111,"Saint-Claude",0,3
6455993,"Les Rousses",6454111,"Saint-Claude",0.47,3
3018032,"Fontaine-lès-Dijon",3018032,"Fontaine-lès-Dijon",0,3
2976697,"Saint-Vallier",2976697,"Saint-Vallier",0,3
6456379,"La Clayette",2976697,"Saint-Vallier",0.99,3
2997076,"Lure",2997076,"Lure",0,3
3027235,"Champagnole",3027235,"Champagnole",0,3
3035828,"Auxonne",3035828,"Auxonne",0,3
2981655,"Saint-Apollinaire",2981655,"Saint-Apollinaire",0,3
6442184,"Charnay-lès-Mâcon",6442184,"Charnay-lès-Mâcon",0,3
2993928,"Migennes",2993928,"Migennes",0,3
2991692,"Morteau",2991692,"Morteau",0,3
6441988,"Luxeuil-les-Bains",6441988,"Luxeuil-les-Bains",0,3
2977229,"Saint-Rémy",2977229,"Saint-Rémy",0,3
3035768,"Avallon",3035768,"Avallon",0,3
3023735,"Corbigny",3035768,"Avallon",0.77,3
2997439,"Louhans",2997439,"Louhans",0,3
8295798,"Châtenoy-le-Royal",8295798,"Châtenoy-le-Royal",0,3
6454631,"Saint-Marcel",6454631,"Saint-Marcel",0,3
6447839,"Bethoncourt",6447839,"Bethoncourt",0,3
6454592,"Gray",6454592,"Gray",0,3
3027642,"Chagny",3027642,"Chagny",0,3
6442513,"Tournus",6442513,"Tournus",0,3
2989837,"Nuits-Saint-Georges",2989837,"Nuits-Saint-Georges",0,3
3026046,"Châtillon-sur-Seine",3026046,"Châtillon-sur-Seine",0,3
3021661,"Decize",3021661,"Decize",0,3
2968511,"Villeneuve-sur-Yonne",2968511,"Villeneuve-sur-Yonne",0,3
2992953,"Montbard",2992953,"Montbard",0,3
3034535,"Baume-les-Dames",3034535,"Baume-les-Dames",0,3
2989929,"Novillars",3034535,"Baume-les-Dames",0.47,3
2996881,"Cluny",2996881,"Cluny",0,3
3031090,"Bourbon-Lancy",3031090,"Bourbon-Lancy",0,3
6452602,"Bavilliers",6452602,"Bavilliers",0,3
2972467,"Tonnerre",2972467,"Tonnerre",0,3
6428669,"Is-sur-Tille",6428669,"Is-sur-Tille",0,3
2993316,"Monéteau",2993316,"Monéteau",0,3
6429772,"Étupes",6429772,"Étupes",0,3
3013448,"Hérimoncourt",3013448,"Hérimoncourt",0,3
3024782,"Clamecy",3024782,"Clamecy",0,3
6455085,"Arbois",6455085,"Arbois",0,3
3037370,"Appoigny",3037370,"Appoigny",0,3
3020991,"Doubs",3020991,"Doubs",0,3
6454608,"Charolles",6454608,"Charolles",0,3
6446048,"Toucy",6446048,"Toucy",0,3
2990479,"Neuvy-sur-Loire",6446048,"Toucy",0.97,3
6433750,"Salins-les-Bains",6433750,"Salins-les-Bains",0,3
3022433,"Crissey",3022433,"Crissey",0,3
2975819,"Saulieu",2975819,"Saulieu",0,3
2974710,"Seurre",2974710,"Seurre",0,3
3032251,"Bletterans",2974710,"Seurre",0.91,3
3017330,"Franois",3017330,"Franois",0,3
2996957,"Luzy",2996957,"Luzy",0,3
3012961,"Hurigny",3012961,"Hurigny",0,3
6614949,"Château-Chinon (Ville)",6614949,"Château-Chinon (Ville)",0,3
2977432,"Saint-Pierre-le-Moûtier",2977432,"Saint-Pierre-le-Moûtier",0,3
