data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   478	   478	0		0
   478	   170	6		515
   478	   417	9		797
   478	    76	17		1559
   478	    43	25		2292
   478	    35	70		6300
   478	    65	31		2806
   478	   941	29		2578
   478	   438	18		1576
   478	   295	49		4447
   478	   766	40		3618
   478	    60	15		1333
   478	   736	23		2099
   478	   771	21		1847
   478	    62	29		2634
   478	   318	57		5115
   170	   478	6		515
   170	   170	0		0
   170	   417	11		1021
   170	    76	14		1239
   170	    43	23		2099
   170	    35	67		6032
   170	    65	26		2306
   170	   941	26		2305
   170	   438	17		1572
   170	   295	47		4259
   170	   766	40		3575
   170	    60	9		823
   170	   736	18		1584
   170	   771	16		1411
   170	    62	32		2842
   170	   318	59		5292
   417	   478	9		797
   417	   170	11		1021
   417	   417	0		0
   417	    76	25		2251
   417	    43	34		3060
   417	    35	64		5746
   417	    65	36		3197
   417	   941	24		2115
   417	   438	10		868
   417	   295	42		3816
   417	   766	32		2875
   417	    60	18		1596
   417	   736	26		2338
   417	   771	20		1776
   417	    62	21		1851
   417	   318	48		4326
    76	   478	17		1559
    76	   170	14		1239
    76	   417	25		2251
    76	    76	0		0
    76	    43	11		946
    76	    35	75		6756
    76	    65	19		1675
    76	   941	35		3164
    76	   438	31		2766
    76	   295	57		5173
    76	   766	52		4686
    76	    60	14		1239
    76	   736	17		1521
    76	   771	22		1998
    76	    62	45		4080
    76	   318	72		6523
    43	   478	25		2292
    43	   170	23		2099
    43	   417	34		3060
    43	    76	11		946
    43	    43	0		0
    43	    35	85		7663
    43	    65	24		2173
    43	   941	46		4107
    43	   438	41		3666
    43	   295	68		6116
    43	   766	62		5620
    43	    60	24		2181
    43	   736	26		2347
    43	   771	33		2930
    43	    62	55		4910
    43	   318	82		7380
    35	   478	70		6300
    35	   170	67		6032
    35	   417	64		5746
    35	    76	75		6756
    35	    43	85		7663
    35	    35	0		0
    35	    65	66		5921
    35	   941	41		3731
    35	   438	54		4896
    35	   295	23		2026
    35	   766	37		3360
    35	    60	62		5545
    35	   736	59		5345
    35	   771	53		4770
    35	    62	57		5122
    35	   318	56		5006
    65	   478	31		2806
    65	   170	26		2306
    65	   417	36		3197
    65	    76	19		1675
    65	    43	24		2173
    65	    35	66		5921
    65	    65	0		0
    65	   941	32		2924
    65	   438	37		3285
    65	   295	53		4746
    65	   766	52		4722
    65	    60	18		1605
    65	   736	11		956
    65	   771	20		1837
    65	    62	53		4744
    65	   318	77		6957
   941	   478	29		2578
   941	   170	26		2305
   941	   417	24		2115
   941	    76	35		3164
   941	    43	46		4107
   941	    35	41		3731
   941	    65	32		2924
   941	   941	0		0
   941	   438	15		1379
   941	   295	22		2010
   941	   766	20		1812
   941	    60	21		1926
   941	   736	23		2038
   941	   771	13		1206
   941	    62	27		2436
   941	   318	46		4177
   438	   478	18		1576
   438	   170	17		1572
   438	   417	10		868
   438	    76	31		2766
   438	    43	41		3666
   438	    35	54		4896
   438	    65	37		3285
   438	   941	15		1379
   438	   438	0		0
   438	   295	33		2950
   438	   766	23		2043
   438	    60	20		1759
   438	   736	26		2338
   438	   771	17		1536
   438	    62	16		1459
   438	   318	42		3782
   295	   478	49		4447
   295	   170	47		4259
   295	   417	42		3816
   295	    76	57		5173
   295	    43	68		6116
   295	    35	23		2026
   295	    65	53		4746
   295	   941	22		2010
   295	   438	33		2950
   295	   295	0		0
   295	   766	15		1369
   295	    60	44		3935
   295	   736	44		3960
   295	   771	36		3198
   295	    62	34		3105
   295	   318	39		3472
   766	   478	40		3618
   766	   170	40		3575
   766	   417	32		2875
   766	    76	52		4686
   766	    43	62		5620
   766	    35	37		3360
   766	    65	52		4722
   766	   941	20		1812
   766	   438	23		2043
   766	   295	15		1369
   766	   766	0		0
   766	    60	39		3513
   766	   736	42		3804
   766	   771	32		2925
   766	    62	20		1771
   766	   318	27		2462
    60	   478	15		1333
    60	   170	9		823
    60	   417	18		1596
    60	    76	14		1239
    60	    43	24		2181
    60	    35	62		5545
    60	    65	18		1605
    60	   941	21		1926
    60	   438	20		1759
    60	   295	44		3935
    60	   766	39		3513
    60	    60	0		0
    60	   736	9		774
    60	   771	9		775
    60	    62	36		3198
    60	   318	61		5528
   736	   478	23		2099
   736	   170	18		1584
   736	   417	26		2338
   736	    76	17		1521
   736	    43	26		2347
   736	    35	59		5345
   736	    65	11		956
   736	   941	23		2038
   736	   438	26		2338
   736	   295	44		3960
   736	   766	42		3804
   736	    60	9		774
   736	   736	0		0
   736	   771	10		889
   736	    62	42		3797
   736	   318	67		6004
   771	   478	21		1847
   771	   170	16		1411
   771	   417	20		1776
   771	    76	22		1998
   771	    43	33		2930
   771	    35	53		4770
   771	    65	20		1837
   771	   941	13		1206
   771	   438	17		1536
   771	   295	36		3198
   771	   766	32		2925
   771	    60	9		775
   771	   736	10		889
   771	   771	0		0
   771	    62	33		2974
   771	   318	57		5120
    62	   478	29		2634
    62	   170	32		2842
    62	   417	21		1851
    62	    76	45		4080
    62	    43	55		4910
    62	    35	57		5122
    62	    65	53		4744
    62	   941	27		2436
    62	   438	16		1459
    62	   295	34		3105
    62	   766	20		1771
    62	    60	36		3198
    62	   736	42		3797
    62	   771	33		2974
    62	    62	0		0
    62	   318	28		2482
   318	   478	57		5115
   318	   170	59		5292
   318	   417	48		4326
