lat_departure,lon_departure,lat_arrival,lon_arrival
43.6667,6.9167,43.6667,6.9167,
43.9372,7.5144,43.6667,6.9167,
43.3169,6.4692,43.6667,6.9167,
43.5672,6.6919,43.6667,6.9167,
43.9733,7.3125,43.6667,6.9167,
43.8217,7.2375,43.6667,6.9167,
43.4053,5.0475,43.4053,5.0475,
43.33,5.7175,43.4053,5.0475,
43.3953,5.5483,43.4053,5.0475,
43.4517,4.4281,43.4053,5.0475,
43.7211,4.7881,43.4053,5.0475,
43.5625,5.0717,43.4053,5.0475,
43.7639,5.3625,43.4053,5.0475,
43.5553,5.6028,43.4053,5.0475,
44.5594,6.0786,44.5594,6.0786,
44.4286,5.715,44.5594,6.0786,
44.5336,6.4711,44.5594,6.0786,
44.5258,6.405,44.5594,6.0786,
44.9761,6.5086,44.5594,6.0786,
44.0925,6.2356,44.0925,6.2356,
44.2569,6.9247,44.0925,6.2356,
43.7611,5.7514,44.0925,6.2356,
43.9267,5.8911,44.0925,6.2356,
44.4178,6.7306,44.0925,6.2356,
44.2675,5.8592,44.0925,6.2356,
43.9653,6.6686,44.0925,6.2356,
43.8761,5.3964,43.8761,5.3964,
44.2453,4.8861,43.8761,5.3964,
43.9472,4.9331,43.8761,5.3964,
44.0578,5.2336,43.8761,5.3964,
43.3947,6.3128,43.3947,6.3128,
43.1764,5.9264,43.3947,6.3128,
43.2083,6.4656,43.3947,6.3128,
43.4739,6.1219,43.3947,6.3128,
