lat_departure,lon_departure,lat_arrival,lon_arrival
48.2997,4.0792,48.2997,4.0792,
48.2797,4.0539,48.2997,4.0792,
48.3119,4.0444,48.2997,4.0792,
48.2947,4.0489,48.2997,4.0792,
48.2714,4.0975,48.2997,4.0792,
48.3206,4.1014,48.2997,4.0792,
48.2603,4.0717,48.2997,4.0792,
48.2878,4.0197,48.2997,4.0792,
48.3025,4.0411,48.2997,4.0792,
48.2997,4.1178,48.2997,4.0792,
48.3636,4.0014,48.2997,4.0792,
48.2561,4.0956,48.2997,4.0792,
48.446693,6.34108,48.2997,4.0792,
48.2544,4.2669,48.2997,4.0792,
48.3322,4.1269,48.2997,4.0792,
48.2328,4.1481,48.2997,4.0792,
48.2692,3.8061,48.2997,4.0792,
48.2364,4.1114,48.2997,4.0792,
48.3447,4.0614,48.2997,4.0792,
48.3378,4.0319,48.2997,4.0792,
48.3631,4.3328,48.2997,4.0792,
48.3817,3.9772,48.2997,4.0792,
48.2089,4.1903,48.2997,4.0792,
48.1961,3.9994,48.2997,4.0792,
48.1714,4.2156,48.2997,4.0792,
48.4083,4.1742,48.2997,4.0792,
49.7719,4.7161,49.7719,4.7161,
49.7019,4.9403,49.7719,4.7161,
49.9425,4.6386,49.7719,4.7161,
49.815,4.745,49.7719,4.7161,
49.7394,4.7494,49.7719,4.7161,
49.7375,4.8558,49.7719,4.7161,
49.7347,4.8308,49.7719,4.7161,
49.7219,4.9303,49.7719,4.7161,
49.8856,4.7314,49.7719,4.7161,
49.7,4.795,49.7719,4.7161,
49.6964,4.8744,49.7719,4.7161,
49.6986,4.7733,49.7719,4.7161,
49.7297,4.7147,49.7719,4.7161,
49.8394,4.6022,49.7719,4.7161,
49.7814,4.7658,49.7719,4.7161,
49.775,4.7431,49.7719,4.7161,
49.8839,4.8419,49.7719,4.7161,
49.8403,4.5392,49.7719,4.7161,
49.7547,4.69,49.7719,4.7161,
49.7697,4.6806,49.7719,4.7161,
49.7353,4.7839,49.7719,4.7161,
49.6894,4.8072,49.7719,4.7161,
49.7636,4.7708,49.7719,4.7161,
49.7967,4.6369,49.7719,4.7161,
49.8728,4.8072,49.7719,4.7161,
49.7206,4.9881,49.7719,4.7161,
49.8808,4.7056,49.7719,4.7161,
49.8217,4.8289,49.7719,4.7161,
49.8103,4.7953,49.7719,4.7161,
48.6936,6.1846,48.6567,6.1683,
48.6567,6.1683,48.6567,6.1683,
48.675,5.8917,48.6567,6.1683,
48.6731,6.1547,48.6567,6.1683,
48.6856,6.1522,48.6567,6.1683,
48.7011,6.2067,48.6567,6.1683,
48.7114,6.1631,48.6567,6.1683,
48.625,6.3497,48.6567,6.1683,
48.6694,6.2061,48.6567,6.1683,
48.6856,6.2117,48.6567,6.1683,
48.7058,6.2222,48.6567,6.1683,
48.7103,6.1864,48.6567,6.1683,
48.6308,6.3022,48.6567,6.1683,
48.7336,6.1644,48.6567,6.1683,
48.6161,6.1036,48.6567,6.1683,
48.7606,6.1289,48.6567,6.1683,
48.6553,6.2314,48.6567,6.1683,
48.6217,6.1617,48.6567,6.1683,
48.7503,6.0619,48.6567,6.1683,
48.6525,6.1942,48.6567,6.1683,
48.7158,6.2661,48.6567,6.1683,
48.7011,6.2583,48.6567,6.1683,
48.7681,6.1275,48.6567,6.1683,
48.7519,6.1631,48.6567,6.1683,
48.6889,6.2469,48.6567,6.1683,
48.6339,6.3136,48.6567,6.1683,
48.5569,6.3881,48.6567,6.1683,
48.7919,6.1425,48.6567,6.1683,
48.5922,6.3333,48.6567,6.1683,
48.6244,6.0831,48.6567,6.1683,
48.6931,5.9606,48.6567,6.1683,
48.7481,6.2006,48.6567,6.1683,
48.5947,6.1697,48.6567,6.1683,
48.6253,6.2036,48.6567,6.1683,
48.6461,6.1747,48.6567,6.1683,
48.67,5.9078,48.6567,6.1683,
48.6117,6.1386,48.6567,6.1683,
48.7028,6.0211,48.6567,6.1683,
48.605,6.0972,48.6567,6.1683,
48.6292,6.1242,48.6567,6.1683,
48.5692,6.1878,48.6567,6.1683,
48.7972,6.1022,48.6567,6.1683,
48.6558,6.2656,48.6567,6.1683,
48.7903,6.0442,48.6567,6.1683,
48.7428,6.3492,48.6567,6.1683,
48.7719,6.2603,48.6567,6.1683,
48.4869,6.0878,48.6567,6.1683,
48.5872,6.0944,48.6567,6.1683,
48.7931,6.1981,48.6567,6.1683,
48.5419,6.1414,48.6567,6.1683,
48.7506,6.2242,48.6567,6.1683,
48.7308,5.9778,48.6567,6.1683,
49.0403,3.96,49.0403,3.96,
49.0553,4.0036,49.0403,3.96,
48.9719,4.0094,49.0403,3.96,
49.0653,3.9667,49.0403,3.96,
49.0547,3.9306,49.0403,3.96,
49.0125,3.8678,49.0403,3.96,
49.0711,3.8775,49.0403,3.96,
49.0481,4.0311,49.0403,3.96,
48.9467,4.0219,49.0403,3.96,
49.1586,4.1453,49.0403,3.96,
49.0253,4.0139,49.0403,3.96,
49.1653,4.0456,49.0403,3.96,
48.1117,5.1389,48.1117,5.1389,
48.2019,5.1408,48.1117,5.1389,
48.0342,4.9147,48.1117,5.1389,
48.0856,5.2961,48.1117,5.1389,
48.1078,5.1708,48.1117,5.1389,
48.1358,5.0864,48.1117,5.1389,
47.59,7.57,47.59,7.57,
47.5914,7.5831,47.59,7.57,
47.6889,7.5036,47.59,7.57,
47.7294,7.4189,47.59,7.57,
47.6017,7.4953,47.59,7.57,
47.6067,7.5694,47.59,7.57,
47.6347,7.4758,47.59,7.57,
47.6556,7.4558,47.59,7.57,
47.5619,7.5256,47.59,7.57,
47.5761,7.5219,47.59,7.57,
47.6372,7.5358,47.59,7.57,
